name	term	lev	seq	value
"heterochromatin"	GO:0000792	3	isogroup126	-4.41366955326256
"heterochromatin"	GO:0000792	3	isogroup1565	0.363436606354537
"heterochromatin"	GO:0000792	3	isogroup2790	22.397365961172
"heterochromatin"	GO:0000792	3	isogroup3790	0.570078386933648
"heterochromatin"	GO:0000792	3	isogroup3946	0.276753136450427
"heterochromatin"	GO:0000792	3	isogroup4668	-1.52972285548819
"heterochromatin"	GO:0000792	3	isogroup6697	0.606008996760153
"heterochromatin"	GO:0000792	3	isogroup7976	-37.7607934319199
"heterochromatin"	GO:0000792	3	isogroup8995	-27.1023273100039
"heterochromatin"	GO:0000792	3	isogroup10157	3.57029479743194
"heterochromatin"	GO:0000792	3	isogroup12545	1.94300961210194
"heterochromatin"	GO:0000792	3	isogroup13245	-14.6212683450255
"heterochromatin"	GO:0000792	3	isogroup16111	1.7640371224953
"heterochromatin"	GO:0000792	3	isogroup16528	-1.02830717082642
"heterochromatin"	GO:0000792	3	isogroup16886	-44.3295547499283
"heterochromatin"	GO:0000792	3	isogroup17338	3.48093797274213
"heterochromatin"	GO:0000792	3	isogroup17341	5.27459818153803
"heterochromatin"	GO:0000792	3	isogroup18247	1.39287454771158
"heterochromatin"	GO:0000792	3	isogroup19136	12.9584215842809
"heterochromatin"	GO:0000792	3	isogroup19200	-3.34784710585472
"heterochromatin"	GO:0000792	3	isogroup19309	0.477742635445004
"heterochromatin"	GO:0000792	3	isogroup22167	1.09301469591918
"heterochromatin"	GO:0000792	3	isogroup22702	7.34945257731746
"heterochromatin"	GO:0000792	3	isogroup23461	-3.06902043173085
"heterochromatin"	GO:0000792	3	isogroup24276	23.9400634477251
"heterochromatin"	GO:0000792	3	isogroup24404	-1.26594634457473
"heterochromatin"	GO:0000792	3	isogroup24421	-5.32161277410271
"heterochromatin"	GO:0000792	3	isogroup24772	-29.0624925772048
"heterochromatin"	GO:0000792	3	isogroup25013	-5.22463901544723
"heterochromatin"	GO:0000792	3	isogroup25401	-0.119289117512171
"heterochromatin"	GO:0000792	3	isogroup25436	-1.94504630115212
"heterochromatin"	GO:0000792	3	isogroup25792	0.244540573437349
"heterochromatin"	GO:0000792	3	isogroup26716	-4.69387142762371
"heterochromatin"	GO:0000792	3	isogroup27103	-2.87612002010012
"heterochromatin"	GO:0000792	3	isogroup27341	-0.0914477927661808
"occluding junction"	GO:0005923;GO:0070160	2	isogroup1206	6.20248470300709
"occluding junction"	GO:0005923;GO:0070160	2	isogroup1236	4.71151977314561
"occluding junction"	GO:0005923;GO:0070160	2	isogroup1290	2.91549368650025
"occluding junction"	GO:0005923;GO:0070160	2	isogroup1322	3.27949329701286
"occluding junction"	GO:0005923;GO:0070160	2	isogroup1358	7.44983673102907
"occluding junction"	GO:0005923;GO:0070160	2	isogroup1381	6.13820799371164
"occluding junction"	GO:0005923;GO:0070160	2	isogroup1695	-0.769696893155467
"occluding junction"	GO:0005923;GO:0070160	2	isogroup1819	1.08383116883544
"occluding junction"	GO:0005923;GO:0070160	2	isogroup1843	3.54544825318886
"occluding junction"	GO:0005923;GO:0070160	2	isogroup2491	4.62205698428415
"occluding junction"	GO:0005923;GO:0070160	2	isogroup2913	12.3898099407362
"occluding junction"	GO:0005923;GO:0070160	2	isogroup2998	22.1750711079775
"occluding junction"	GO:0005923;GO:0070160	2	isogroup3428	-2.21830197234981
"occluding junction"	GO:0005923;GO:0070160	2	isogroup3889	-6.17087044844933
"occluding junction"	GO:0005923;GO:0070160	2	isogroup4266	7.42806653360173
"occluding junction"	GO:0005923;GO:0070160	2	isogroup4292	1.58668558716068
"occluding junction"	GO:0005923;GO:0070160	2	isogroup5032	-0.28248145472198
"occluding junction"	GO:0005923;GO:0070160	2	isogroup5756	2.85658623926436
"occluding junction"	GO:0005923;GO:0070160	2	isogroup5979	-0.248161088967311
"occluding junction"	GO:0005923;GO:0070160	2	isogroup5981	3.18130811552124
"occluding junction"	GO:0005923;GO:0070160	2	isogroup5990	-0.0105596749160037
"occluding junction"	GO:0005923;GO:0070160	2	isogroup6439	-1.51271359259669
"occluding junction"	GO:0005923;GO:0070160	2	isogroup6842	1.26965748535936
"occluding junction"	GO:0005923;GO:0070160	2	isogroup7469	0.0119681610027645
"occluding junction"	GO:0005923;GO:0070160	2	isogroup7860	2.38891162826689
"occluding junction"	GO:0005923;GO:0070160	2	isogroup8372	-0.371441750614549
"occluding junction"	GO:0005923;GO:0070160	2	isogroup9111	-8.92778348301996
"occluding junction"	GO:0005923;GO:0070160	2	isogroup10980	1.34909197986973
"occluding junction"	GO:0005923;GO:0070160	2	isogroup10987	0.545823155001812
"occluding junction"	GO:0005923;GO:0070160	2	isogroup11182	2.93509761192232
"occluding junction"	GO:0005923;GO:0070160	2	isogroup11761	0.182548821348634
"occluding junction"	GO:0005923;GO:0070160	2	isogroup11777	85.6666655808459
"occluding junction"	GO:0005923;GO:0070160	2	isogroup12796	-0.766614110818934
"occluding junction"	GO:0005923;GO:0070160	2	isogroup12806	-0.344663763282682
"occluding junction"	GO:0005923;GO:0070160	2	isogroup12823	-10.3943173599967
"occluding junction"	GO:0005923;GO:0070160	2	isogroup13485	-1.44719852480794
"occluding junction"	GO:0005923;GO:0070160	2	isogroup14043	3.41491695891505
"occluding junction"	GO:0005923;GO:0070160	2	isogroup14407	4.31666399009406
"occluding junction"	GO:0005923;GO:0070160	2	isogroup14434	-3.62059650260929
"occluding junction"	GO:0005923;GO:0070160	2	isogroup14695	6.06964991456973
"occluding junction"	GO:0005923;GO:0070160	2	isogroup15102	0.834070175848265
"occluding junction"	GO:0005923;GO:0070160	2	isogroup16181	-1.80307706451804
"occluding junction"	GO:0005923;GO:0070160	2	isogroup16555	41.0224336203974
"occluding junction"	GO:0005923;GO:0070160	2	isogroup17170	1.1238629033744
"occluding junction"	GO:0005923;GO:0070160	2	isogroup17611	9.24381628269258
"occluding junction"	GO:0005923;GO:0070160	2	isogroup18849	1.95639602334323
"occluding junction"	GO:0005923;GO:0070160	2	isogroup19134	-0.0733527098806899
"occluding junction"	GO:0005923;GO:0070160	2	isogroup19577	30.550506143756
"occluding junction"	GO:0005923;GO:0070160	2	isogroup19958	-0.474165594238332
"occluding junction"	GO:0005923;GO:0070160	2	isogroup19963	-0.523128995329591
"occluding junction"	GO:0005923;GO:0070160	2	isogroup20108	5.22357984146862
"occluding junction"	GO:0005923;GO:0070160	2	isogroup20759	2.5908400053045
"occluding junction"	GO:0005923;GO:0070160	2	isogroup21316	5.95079336206387
"occluding junction"	GO:0005923;GO:0070160	2	isogroup22218	6.14420955002284
"occluding junction"	GO:0005923;GO:0070160	2	isogroup23950	0.725215203753469
"occluding junction"	GO:0005923;GO:0070160	2	isogroup24014	1.07968663350614
"occluding junction"	GO:0005923;GO:0070160	2	isogroup24127	-13.4241492535462
"occluding junction"	GO:0005923;GO:0070160	2	isogroup24172	-6.56941274517922
"occluding junction"	GO:0005923;GO:0070160	2	isogroup24196	-3.29980646188224
"occluding junction"	GO:0005923;GO:0070160	2	isogroup25077	1.94616153489404
"occluding junction"	GO:0005923;GO:0070160	2	isogroup26824	-1.23824249546062
"occluding junction"	GO:0005923;GO:0070160	2	isogroup28110	4.84714771194149
"occluding junction"	GO:0005923;GO:0070160	2	isogroup28527	4.77656122250063
"occluding junction"	GO:0005923;GO:0070160	2	isogroup8247	1.5280454936602
"occluding junction"	GO:0005923;GO:0070160	2	isogroup8620	-0.305660727558587
"occluding junction"	GO:0005923;GO:0070160	2	isogroup20130	2.74249083461117
"occluding junction"	GO:0005923;GO:0070160	2	isogroup24161	-0.724381302530932
"occluding junction"	GO:0005923;GO:0070160	2	isogroup25102	-0.621682960837304
"axon part"	GO:0033267	2	isogroup266	7.43389202545879
"axon part"	GO:0033267	2	isogroup277	2.3571089367505
"axon part"	GO:0033267	2	isogroup461	-0.466678420644888
"axon part"	GO:0033267	2	isogroup844	2.30287880988857
"axon part"	GO:0033267	2	isogroup853	2.11710675891219
"axon part"	GO:0033267	2	isogroup855	2.92627447647522
"axon part"	GO:0033267	2	isogroup1479	6.55763611028942
"axon part"	GO:0033267	2	isogroup1701	5.38424701574258
"axon part"	GO:0033267	2	isogroup1789	2.96073431736489
"axon part"	GO:0033267	2	isogroup1950	2.03469339707544
"axon part"	GO:0033267	2	isogroup2138	0.689070799778527
"axon part"	GO:0033267	2	isogroup2825	0.84845350120761
"axon part"	GO:0033267	2	isogroup2913	12.3898099407362
"axon part"	GO:0033267	2	isogroup2977	6.70842227174662
"axon part"	GO:0033267	2	isogroup3344	4.3122459333018
"axon part"	GO:0033267	2	isogroup3860	-5.16349199194451
"axon part"	GO:0033267	2	isogroup4060	4.14833668506656
"axon part"	GO:0033267	2	isogroup4462	-0.637522172941122
"axon part"	GO:0033267	2	isogroup4661	7.49726930935707
"axon part"	GO:0033267	2	isogroup5312	-0.714168431947755
"axon part"	GO:0033267	2	isogroup5331	3.82919603667543
